frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
78,father,0.847362,false,true,6.895951,5.968223,6.823973,6.033231,6.864430,5.926695,6.738477,6.089997,14.971720,12.250100,9.243522,3.562578,3.562578
79,player,0.889288,false,true,5.146566,6.011762,5.133145,5.999117,5.196070,6.040345,5.248215,5.951040,13.364100,13.871580,6.649893,3.562541,3.562541
79,father,0.889288,false,true,6.796888,5.970224,6.823075,6.034280,6.731519,5.920407,6.738199,6.091717,11.225980,12.216140,3.641911,3.562578,3.562578
80,player,0.931214,false,true,5.315606,6.011962,5.134461,5.999109,5.425972,6.052402,5.248622,5.950174,6.972338,13.821800,-3.078746,3.562650,3.562650
80,father,0.931214,false,true,6.683904,5.969679,6.822139,6.034473,6.584454,5.913670,6.737906,6.092599,6.953797,12.180730,-2.498822,3.562469,3.562469
81,player,0.973141,false,true,5.499095,6.018159,5.136597,5.998489,5.660895,6.062980,5.249290,5.949018,0.034218,13.741060,-4.000000,3.562343,3.562343
81,father,0.973141,false,true,6.563923,5.966121,6.820586,6.035170,6.439759,5.908135,6.737422,6.093955,2.417081,12.122050,-4.000000,3.562379,3.562379
82,player,0.015067,false,true,5.601663,6.018927,5.142632,5.998312,5.780707,6.057624,5.251161,5.948466,3.844079,13.512830,-4.000000,3.562469,3.562469
82,father,0.015067,false,true,6.497818,5.965954,6.816740,6.035239,6.365888,5.913024,6.736229,6.094782,0.082514,11.976580,-4.000000,3.562416,3.562416
83,player,0.056993,false,false,5.676412,6.011425,5.210736,5.995493,5.844040,6.046266,5.313698,5.948253,6.670490,10.937680,-1.449445,1.292537,Infinity
